update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,128,15.157527171671275,8,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,2.375,1.9391281604766846,0.16611428558826447,-0.2729020416736603,0.02073143795132637,tensor(0.3773),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,256,446.4619256033883,8,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.934401273727417,-0.5551737546920776,0.8959321975708008,0.23131360113620758,tensor(1.3293),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,384,342.47974896641296,9,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,4.125,1.939524531364441,-0.0670594573020935,0.11116747558116913,0.0035413624718785286,tensor(0.0909),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,512,481.79672802003034,9,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,5.0,1.9411873817443848,0.021548576653003693,-0.033010248094797134,0.0009851546492427588,tensor(0.0326),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,640,411.8308341387828,9,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,5.0,1.9417132139205933,-0.019979145377874374,0.03147143870592117,0.0005338512710295618,tensor(0.0267),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,768,489.46210223921213,9,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,5.0,1.9411141872406006,0.0038326294161379337,-0.006736465729773045,8.031806646613404e-05,tensor(0.0088),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,896,524.4057864559422,10,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,5.0,1.941820740699768,-0.01962314173579216,0.033143747597932816,0.0004085085529368371,tensor(0.0296),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,1024,537.5014011435413,10,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,5.0,1.9418203830718994,0.02477167546749115,-0.040996700525283813,0.0005943621508777142,tensor(0.0371),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,1152,702.7096980239554,10,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,5.0,1.9418776035308838,-0.027708787471055984,0.046262938529253006,0.000664758961647749,tensor(0.0392),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,1280,381.1081855030489,10,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,5.0,1.942338466644287,0.006244678515940905,-0.01039737556129694,3.969272438553162e-05,tensor(0.0085),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
11,1408,570.0131888386453,11,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,5.0,1.9424792528152466,-0.0022272574715316296,0.003681256202980876,6.530035534524359e-06,tensor(0.0032),0.0,0.0,0.0,0.0
