update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,128,11.718877768800361,10,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,1.125,1.9394192695617676,-0.08826187998056412,0.14171133935451508,0.015570634044706821,tensor(0.2922),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,256,402.09838874812476,11,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,2.375,1.912448525428772,0.9768663644790649,-1.5562021732330322,0.7490964531898499,tensor(4.5877),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,384,430.29432315740456,11,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.9371548891067505,-0.002793388906866312,0.005911321844905615,0.0032468517310917377,tensor(0.0471),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,512,331.16691433051494,11,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.9395487308502197,0.026493553072214127,-0.04337819293141365,0.001084175892174244,tensor(0.0423),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,640,419.59922312492915,12,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.9372048377990723,-0.056276172399520874,0.09164240956306458,0.00304712587967515,tensor(0.1058),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,768,507.08714834212526,12,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.9398536682128906,0.09800686687231064,-0.16117480397224426,0.007311183027923107,tensor(0.1493),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,896,557.3391938958241,12,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.9388761520385742,-0.03240982070565224,0.0537540465593338,0.0010353738907724619,tensor(0.0493),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,1024,421.9518922058457,13,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.9398547410964966,0.017095593735575676,-0.028055302798748016,0.00029007712146267295,tensor(0.0247),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,1152,372.83038805211436,13,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.9406659603118896,-0.0038875555619597435,0.006484344135969877,0.00010560886585153639,tensor(0.0064),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,1280,473.26295152604496,13,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.939868688583374,0.003124482464045286,-0.005015506409108639,0.00010780096636153758,tensor(0.0056),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
11,1408,424.57539132408425,13,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,3.375,1.9405593872070312,-0.0028884722851216793,0.004542275797575712,6.780366675229743e-05,tensor(0.0047),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
12,1536,527.0095100479822,14,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,4.25,1.9404480457305908,0.0030913669615983963,-0.005066506564617157,0.00012365292059257627,tensor(0.0057),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
